code,name,altname,label,x,y
E06000022,Bath and North East Somerset,,E06000022,367002.975754299,161986.480904912
E07000206,Waveney,,E07000206,643850.767176128,286188.769846584
E07000142,West Lindsey,,E07000142,501368.556830138,389515.243009476
E07000100,St Albans,,E07000100,514461.619300109,209454.511258116
E07000145,Great Yarmouth,,E07000145,647810.791477487,311075.405786797
E07000199,Tamworth,,E07000199,421903.978220839,303234.276735971
E07000120,Hyndburn,,E07000120,374398.666838288,429213.288645388
E06000040,Windsor and Maidenhead,,E06000040,490398.667527112,177104.05035787
E09000007,Camden,,E09000007,527864.856991444,184663.308450998
E07000118,Chorley,,E07000118,357284.328358233,418528.021051118
E09000031,Waltham Forest,,E09000031,537757.562830739,190224.258350361
E07000012,South Cambridgeshire,,E07000012,542424.994375003,254767.204853812
E07000049,East Dorset,,E07000049,402801.670079161,107132.148327171
E07000033,Bolsover,,E07000033,448355.315808255,368973.261129692
E06000053,Isles of Scilly,,E06000053,90329.3756979796,13012.5901215273
E07000133,Melton,,E07000133,477218.260527009,322703.652879634
E06000039,Slough,,E06000039,498212.461648701,179777.431824293
E06000031,Peterborough,,E06000031,518387.825955779,302630.044842539
E07000112,Shepway,,E07000112,609920.683133028,132536.910914501
E07000180,Vale of White Horse,,E07000180,438738.881854924,192972.193875114
E07000137,East Lindsey,,E07000137,535539.91829297,374459.509630749
E07000209,Guildford,,E07000209,500487.372546901,150829.994339558
E07000204,St Edmundsbury,,E07000204,582702.010515677,262834.511349606
E07000048,Christchurch,,E07000048,415035.812105058,95787.6208205907
E07000156,Wellingborough,,E07000156,487928.001512635,266296.85568218
E07000079,Cotswold,,E07000079,407475.943096903,213096.802542803
E09000012,Hackney,,E09000012,534370.355237623,185486.107330587
E07000037,High Peak,,E07000037,408485.335072875,386239.298370927
E06000056,Central Bedfordshire,,E06000056,507430.327833825,235397.875184377
E07000196,South Staffordshire,,E07000196,388128.589131464,303085.416461882
E06000015,Derby,,E06000015,435849.806221618,335145.364391398
E07000045,Teignbridge,,E07000045,282881.649638672,79822.4095717717
E07000106,Canterbury,,E07000106,616388.890175426,158424.271037799
E07000076,Tendring,,E07000076,614538.420059331,223794.551853486
E06000012,North East Lincolnshire,,E06000012,523827.225929678,406879.282687281
E07000170,Ashfield,,E07000170,449710.904745725,355261.711730338
E07000172,Broxtowe,,E07000172,449646.355250249,342373.574521466
E08000035,Leeds,,E08000035,432614.119449974,436721.111465706
E07000092,Rushmoor,,E07000092,486073.586515865,153420.581359669
E09000026,Redbridge,,E09000026,543914.554028897,189463.556770086
E07000125,Rossendale,,E07000125,382447.275527236,421963.713675283
E09000017,Hillingdon,,E09000017,507889.558355848,183653.114073921
E07000063,Lewes,,E07000063,541144.754111957,111094.917398097
E09000030,Tower Hamlets,,E09000030,536467.953958806,181475.886717867
E07000237,Worcester,,E07000237,385652.630803862,255405.301381529
E07000072,Epping Forest,,E07000072,548554.955533333,203311.560334446
E07000124,Ribble Valley,,E07000124,370878.448416169,445765.23656783
E07000163,Craven,,E07000163,388697.119609741,464892.488284931
E07000207,Elmbridge,,E07000207,512048.551820524,163233.360949616
E07000032,Amber Valley,,E07000032,435868.105677638,348127.379653111
E09000001,City of London,,E09000001,532464.075463355,181219.687531574
E08000031,Wolverhampton,,E08000031,391899.842228788,299050.682270758
E07000093,Test Valley,,E07000093,434339.644593231,136686.973226696
E07000202,Ipswich,,E07000202,616726.897474981,244433.493555583
E07000083,Tewkesbury,,E07000083,394086.061291313,227461.167833107
